Portfolio,Entity,Annual Report Url,Type of Glossary,Glossary Url,Entity Website
Defence,australian strategic policy institute ltd,https:/www.transparency.gov.au/publications/defence/australian-strategic-policy-institute-ltd/australian-strategic-policy-institute-annual-report-2023-24,mixed,https:/www.transparency.gov.au/publications/defence/australian-strategic-policy-institute-ltd/australian-strategic-policy-institute-annual-report-2023-24/annexes/annex-l%3A-acronyms-and-abbreviations,https://www.aspi.org.au/
Defence,australian submarine agency,https:/www.transparency.gov.au/publications/defence/australian-submarine-agency/australian-submarine-agency-annual-report-2023-24,mixed,https:/www.transparency.gov.au/publications/defence/australian-submarine-agency/australian-submarine-agency-annual-report-2023-24/chapter-5%3A-appendices/appendix-f%3A-glossary-of-abbreviations-and-acronyms,https://www.asa.gov.au
Treasury,australian taxation office,https:/www.transparency.gov.au/publications/treasury/australian-taxation-office/australian-taxation-office-annual-report-2023-24,abbreviation,https:/www.transparency.gov.au/publications/treasury/australian-taxation-office/australian-taxation-office-annual-report-2023-24/reference-material/abbreviations,http://www.ato.gov.au
Treasury,australian taxation office,https:/www.transparency.gov.au/publications/treasury/australian-taxation-office/australian-taxation-office-annual-report-2023-24,glossary,https:/www.transparency.gov.au/publications/treasury/australian-taxation-office/australian-taxation-office-annual-report-2023-24/reference-material/glossary,http://www.ato.gov.au
Foreign Affairs and Trade,australian trade and investment commission (austrade),https:/www.transparency.gov.au/publications/foreign-affairs-and-trade/australian-trade-and-investment-commission-austrade/australian-trade-and-investment-commission-annual-report-2023-24,mixed,https:/www.transparency.gov.au/publications/foreign-affairs-and-trade/australian-trade-and-investment-commission-austrade/australian-trade-and-investment-commission-annual-report-2023-24/abbreviations-and-acronyms,http://www.austrade.gov.au
Attorney-General's,australian transaction reports and analysis centre (austrac),https:/www.transparency.gov.au/publications/attorney-general-s/australian-transaction-reports-and-analysis-centre-austrac/australian-transaction-reports-and-analysis-centre-annual-report-2023-24,glossary,https:/www.transparency.gov.au/publications/attorney-general-s/australian-transaction-reports-and-analysis-centre-austrac/australian-transaction-reports-and-analysis-centre-annual-report-2023-24/glossary,http://www.austrac.gov.au
"Infrastructure, Transport, Cities and Regional Development",australian transport safety bureau (atsb),https:/www.transparency.gov.au/publications/infrastructure-transport-cities-and-regional-development/australian-transport-safety-bureau-atsb/australian-transport-safety-bureau-atsb-annual-report-2023-24,glossary,https:/www.transparency.gov.au/publications/infrastructure-transport-cities-and-regional-development/australian-transport-safety-bureau-atsb/australian-transport-safety-bureau-atsb-annual-report-2023-24/appendices/appendix-v%3A-glossary,http://www.atsb.gov.au
"Agriculture, Water and the Environment",bureau of meteorology,https:/www.transparency.gov.au/publications/agriculture-water-and-the-environment/bureau-of-meteorology/annual-report-2023-24,glossary,https:/www.transparency.gov.au/publications/agriculture-water-and-the-environment/bureau-of-meteorology/annual-report-2023-24/section-6---appendices/glossary,http://www.bom.gov.au
Health,cancer australia,https:/www.transparency.gov.au/publications/health/cancer-australia/annual-report-2023-24,glossary,https:/www.transparency.gov.au/publications/health/cancer-australia/annual-report-2023-24/glossary,http://www.canceraustralia.gov.au
Health,cancer australia,https:/www.transparency.gov.au/publications/health/cancer-australia/annual-report-2023-24,abbreviation,https:/www.transparency.gov.au/publications/health/cancer-australia/annual-report-2023-24/abbreviations,http://www.canceraustralia.gov.au
