Portfolio,Entity,BodyType,Url
Treasury,Australian Competition and Consumer Commission (ACCC),Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/treasury/australian-competition-and-consumer-commission-accc/accc-and-aer-annual-report-2023-24/part-6---appendixes/glossary-and-abbreviations
Attorney-General's,Australian Criminal Intelligence Commission,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/attorney-general-s/australian-criminal-intelligence-commission/australian-criminal-intelligence-commission-annual-report-2023-24/section-5%3A-appendices-and-references/glossary
Attorney-General's,Australian Criminal Intelligence Commission,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/attorney-general-s/australian-criminal-intelligence-commission/australian-criminal-intelligence-commission-annual-report-2023-24/section-5%3A-appendices-and-references/list-of-abbreviations
Finance,Australian Electoral Commission,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/finance/australian-electoral-commission/australian-electoral-commission-annual-report-2023-24/08---reader-guides-/abbreviations-and-acronyms
Finance,Australian Electoral Commission,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/finance/australian-electoral-commission/australian-electoral-commission-annual-report-2023-24/08---reader-guides-/glossary
Attorney-General's,Australian Federal Police,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/attorney-general-s/australian-federal-police/australian-federal-police-annual-report-2023-24/reference-material/abbreviations-and-acronyms
Agriculture,Australian Fisheries Management Authority,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/agriculture/australian-fisheries-management-authority/australian-fisheries-management-authority-annual-report-2023-24/references/abbreviations-and-acronyms
Agriculture,Australian Fisheries Management Authority,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/agriculture/australian-fisheries-management-authority/australian-fisheries-management-authority-annual-report-2023-24/references/glossary
Prime Minister and Cabinet,Australian Institute of Aboriginal and Torres Strait Islander Studies,Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/prime-minister-and-cabinet/australian-institute-of-aboriginal-and-torres-strait-islander-studies/australian-institute-of-aboriginal-and-torres-strait-islander-studies-annual-report-2023-2024/part-7.-aids-to-access/abbreviations-and-acronyms
Attorney-General's,Australian Institute of Criminology,Non-Corporate Commonwealth Entity,https:/www.transparency.gov.au/publications/attorney-general-s/australian-institute-of-criminology/annual-report-2023-24/about-this-report/acronyms
